,Mean,Software,User,value
0,6.791666666666667,AVG antivirus,Fakru,7.0
1,7.041666666666667,AWS Application Load Balancer,Fakru,8.0
2,5.5,AWS Mobile Hub,Fakru,7.0
3,6.833333333333333,Accelo,Fakru,4.0
4,7.25,Action Recorder,Fakru,7.0
5,6.875,Ad-Aware,Fakru,7.0
6,6.583333333333333,Adobe Target,Fakru,5.0
7,5.833333333333333,Alexa,Fakru,7.0
8,6.583333333333333,AllegroGraph,Fakru,6.0
9,6.916666666666667,Amazon DynamoDB,Fakru,7.0
10,7.041666666666667,Android Studio,Fakru,7.0
11,6.291666666666667,Antavo,Fakru,4.0
12,6.041666666666667,Apache Hbase,Fakru,7.0
13,6.916666666666667,App Annie,Fakru,7.0
14,6.666666666666667,AppLift,Fakru,5.0
15,6.791666666666667,AppLovin,Fakru,7.0
16,6.75,Appcelerator,Fakru,7.0
17,7.375,Appium,Fakru,7.0
18,6.791666666666667,Applause,Fakru,6.0
19,5.958333333333333,Applivery,Fakru,7.0
20,7.25,Appollo,Fakru,6.0
21,6.916666666666667,ArangoDB,Fakru,7.0
22,6.958333333333333,Aspect CTRM,Fakru,7.0
23,6.375,Assertible,Fakru,5.0
24,7.333333333333333,Atlassian Bitbucket Server,Fakru,6.0
25,6.875,Atlassian SourceTree,Fakru,7.0
26,7.166666666666667,Autopilot,Fakru,7.0
27,7.208333333333333,Azure Traffic Manager,Fakru,7.0
28,7.125,Bitbucket Piplines,Fakru,7.0
29,5.416666666666667,Blazegraph,Fakru,7.0
30,7.0,Bluehost,Fakru,6.0
31,7.333333333333333,Brandify,Fakru,7.0
32,6.833333333333333,Braze,Fakru,7.0
33,7.208333333333333,BrowserStack,Fakru,7.0
34,5.916666666666667,Browserling,Fakru,7.0
35,6.833333333333333,CONTACTBOX,Fakru,6.0
36,7.125,Calabash,Fakru,7.0
37,7.083333333333333,CanvasPod,Fakru,7.0
38,6.416666666666667,Capybara,Fakru,4.0
39,5.875,Carto,Fakru,7.0
40,7.125,ChannelSight,Fakru,7.0
41,6.958333333333333,ChartMogul,Fakru,7.0
42,6.75,Chartboost,Fakru,7.0
43,6.75,ClearBit,Fakru,7.0
44,7.0,ClearSlide,Fakru,7.0
45,6.791666666666667,Clearbit,Fakru,6.0
46,5.75,Clearbit Connect,Fakru,3.0
47,7.083333333333333,Cliengo,Fakru,6.0
48,6.916666666666667,Close,Fakru,7.0
